时间,状态模式,空气流量,空气温度,水路压力,电堆电流,电堆电压,实时功率,电堆出水温度,电堆进水温度,氢气压力,空气压力,单片最高电压,单片最低电压,单片平均电压,启停控制,控制模式选择,目标电流,DCDC热点温度,DCDC状态,故障信息,输出电压,输出电流,输入电压,输入电流,氢气浓度,绝缘阻值,SingelVoltage1,SingelVoltage2,SingelVoltage3,SingelVoltage4,SingelVoltage5,SingelVoltage6,SingelVoltage7,SingelVoltage8,SingelVoltage9,SingelVoltage10,SingelVoltage11,SingelVoltage12,SingelVoltage13,SingelVoltage14,SingelVoltage15,SingelVoltage16,SingelVoltage17,SingelVoltage18,SingelVoltage19,SingelVoltage20,SingelVoltage21,SingelVoltage22,SingelVoltage23,单节电压欠压,模块内氢气浓度异常,进出口温差异常,出口水温高异常,水泵故障,氢泵异常,氢气压力高异常,氢气出口压力传感器异常,DC通讯异常,DCDC故障,加热器故障,氢罐温度异常,氢罐高压异常,氢罐中压异常,氢罐低压异常,FCU通讯异常,温度传感器异常,氢气压力传感器自检异常,氢罐SOC过低,氢气出口压力低异常,空气压力低异常,空气压力高异常,空气温度高异常,冷却水压力高异常,单片电压高异常,绝缘低异常,氢空压差大异常（负向）,氢空压差大异常（正向）,启动氢气压力低（低于20KPA）,氢气泄漏检查失败,总电压,总电流,剩余容量,标称容量,循环次数,剩余容量百分比,生产日期,续航里程,软件版本,转速,车速
17:00:00,待机,0,30,1.46,,,0,30,30,1,0,0,0,0,停止,输入恒流输出限压,0,28,停止状态,,0.4,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.12,-0.88,54110,80000,13,68,2021/12/4,34,3.7,0,0
17:00:00,待机,0,30,1.48,,,0,30,30,0.93,0,0,0,0,停止,输入恒流输出限压,0,28,停止状态,,0.4,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.12,-0.88,54110,80000,13,68,2021/12/4,34,3.7,0,0
17:00:00,待机,0,30,1.46,,,0,30,30,0.93,0,0,0,0,停止,输入恒流输出限压,0,28,停止状态,,0.4,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.12,-0.88,54110,80000,13,68,2021/12/4,34,3.7,0,0
17:00:00,待机,0,30,1.46,,,0,30,30,0.93,0,0,0,0,停止,输入恒流输出限压,0,28,停止状态,,0.4,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.12,-0.88,54110,80000,13,68,2021/12/4,34,3.7,0,0
17:00:00,待机,0,30,1.44,,,0,30,30,0.87,0,0,0,0,停止,输入恒流输出限压,0,28,停止状态,,0.4,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.12,-0.88,54110,80000,13,68,2021/12/4,34,3.7,0,0
17:00:00,待机,0,30,1.46,,,0,30,30,1,0,0,0,0,停止,输入恒流输出限压,0,28,停止状态,,0.4,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.12,-0.88,54100,80000,13,68,2021/12/4,34,3.7,0,0
17:00:00,待机,0,30,1.48,,,0,30,30,0.87,0,0,0,0,停止,输入恒流输出限压,0,28,停止状态,,0.4,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.12,-0.88,54100,80000,13,68,2021/12/4,34,3.7,0,0
17:00:00,待机,0,30,1.46,,,0,30,30,0.93,0,0,0,0,停止,输入恒流输出限压,0,28,停止状态,,0.4,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.12,-0.88,54100,80000,13,68,2021/12/4,34,3.7,0,0
17:00:00,待机,0,30,1.48,,,0,30,30,0.93,0,0,0,0,停止,输入恒流输出限压,0,28,停止状态,,0.4,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.12,-0.88,54100,80000,13,68,2021/12/4,34,3.7,0,0
17:00:00,待机,0,30,1.46,,,0,30,30,1,0,0,0,0,停止,输入恒流输出限压,0,28,停止状态,,0.4,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.12,-0.88,54100,80000,13,68,2021/12/4,34,3.7,0,0
17:00:00,待机,0,30,1.46,,,0,30,30,0.87,0,0,0,0,停止,输入恒流输出限压,0,28,停止状态,,0.4,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.12,-0.88,54100,80000,13,68,2021/12/4,34,3.7,0,0
17:00:00,待机,0,30,1.44,,,0,30,30,1,0,0,0,0,停止,输入恒流输出限压,0,28,停止状态,,0.4,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.12,-0.88,54100,80000,13,68,2021/12/4,34,3.7,0,0
