server_time,soc,sys_status,tc,tv,temperature,voltage1,voltage2,voltage3,voltage4,voltage5,voltage6,voltage7,voltage8,voltage9,voltage10,voltage11,voltage12,voltage13,voltage14,voltage15,voltage16,voltage17,voltage18,voltage19,voltage20,aver_volt,time_difference_seconds,dt
2022-05-03 10:53:40,92.44,2,0,66.4,"21,25,0",3322,3325,3323,3325,3322,3322,3324,3325,3323,3321,3324,3326,3330,3331,3324,3320,3320,3317,3317,3316,3322.85,64347165,2
2022-05-03 10:53:51,92.3,2,-31.8,64.8,"21,25,0",3244,3244,3244,3236,3238,3244,3241,3245,3247,3237,3223,3251,3257,3261,3243,3247,3257,3248,3237,3246,3244.5,64347176,11
2022-05-03 10:54:02,92.17,2,-6.7,66.1,"21,25,0",3308,3311,3309,3309,3307,3300,3308,3310,3309,3308,3309,3311,3317,3318,3309,3307,3307,3304,3294,3301,3307.8,64347187,11
2022-05-03 10:54:19,92.02,2,0.3,66,"21,25,0",3304,3306,3306,3307,3304,3303,3305,3307,3306,3304,3306,3307,3313,3313,3306,3303,3303,3299,3299,3298,3304.95,64347204,17
2022-05-03 10:54:23,92.02,2,0,66.2,"21,25,0",3312,3315,3314,3315,3312,3312,3315,3316,3315,3312,3315,3315,3320,3320,3315,3310,3310,3308,3308,3307,3313.3,64347208,4
2022-05-03 10:54:32,91.98,2,-31.9,64.9,"21,25,0",3247,3246,3248,3240,3239,3247,3243,3247,3250,3239,3224,3250,3256,3261,3244,3245,3257,3249,3238,3247,3245.85,64347217,9
2022-05-03 10:54:41,91.73,2,-31.4,64.6,"21,25,0",3233,3230,3232,3226,3223,3230,3228,3233,3233,3224,3211,3235,3243,3251,3229,3236,3243,3234,3224,3231,3231.45,64347226,9
2022-05-03 10:54:52,91.51,2,-19.4,64.9,"21,25,0",3249,3253,3250,3246,3244,3248,3247,3250,3249,3246,3239,3254,3264,3264,3253,3253,3258,3252,3243,3249,3250.55,64347237,11
2022-05-03 10:55:02,91.32,2,-21.2,64.9,"21,25,0",3244,3247,3249,3242,3240,3246,3242,3246,3249,3241,3228,3250,3258,3260,3247,3246,3255,3246,3241,3242,3245.95,64347247,10
2022-05-03 10:55:11,91.12,2,-24.1,64.7,"21,25,0",3233,3236,3240,3228,3229,3238,3231,3239,3237,3230,3222,3237,3248,3249,3235,3236,3247,3236,3230,3235,3235.8,64347256,9
2022-05-03 10:55:29,90.88,2,-23.3,64.6,"21,25,0",3238,3231,3236,3228,3229,3234,3230,3236,3236,3233,3219,3236,3247,3248,3234,3236,3243,3234,3230,3233,3234.55,64347274,18
2022-05-03 10:55:31,90.67,2,-18.5,64.8,"21,25,0",3244,3244,3248,3237,3240,3246,3243,3246,3247,3239,3234,3248,3253,3259,3243,3243,3252,3246,3238,3243,3244.65,64347276,2
2022-05-03 10:55:42,90.66,2,1.6,66,"21,25,0",3300,3303,3301,3303,3300,3300,3303,3303,3302,3300,3303,3302,3306,3306,3301,3296,3298,3295,3297,3294,3300.65,64347287,11
2022-05-03 10:55:52,90.51,2,-31.5,64.4,"22,25,0",3226,3222,3225,3217,3215,3224,3221,3225,3230,3218,3203,3228,3235,3238,3222,3226,3235,3228,3215,3223,3223.8,64347297,10
2022-05-03 10:56:01,90.3,2,-15.7,65,"22,25,0",3253,3254,3255,3248,3252,3254,3253,3253,3258,3250,3240,3256,3263,3262,3255,3254,3258,3255,3247,3251,3253.55,64347306,9
2022-05-03 10:56:11,90.15,2,-16.4,65.1,"22,25,0",3257,3256,3257,3251,3249,3254,3253,3255,3256,3254,3248,3258,3264,3268,3255,3252,3263,3254,3245,3252,3255.05,64347316,10
2022-05-03 10:56:21,90.06,2,0.6,65.9,"22,25,0",3295,3298,3297,3298,3295,3295,3297,3298,3297,3295,3299,3299,3303,3303,3298,3293,3294,3291,3292,3290,3296.35,64347326,10
2022-05-03 10:56:32,89.87,2,-14.1,65.2,"22,25,0",3261,3263,3258,3257,3254,3258,3256,3261,3263,3253,3251,3261,3272,3272,3257,3261,3262,3258,3252,3257,3259.35,64347337,11
2022-05-03 10:56:45,89.78,2,-9.3,65.4,"22,25,0",3271,3272,3277,3272,3271,3272,3270,3275,3275,3272,3268,3277,3279,3282,3276,3270,3278,3271,3269,3269,3273.3,64347350,13
2022-05-03 10:56:57,89.68,2,-12.6,65.3,"22,25,0",3262,3270,3270,3263,3261,3268,3271,3267,3269,3267,3254,3271,3278,3276,3263,3266,3273,3268,3266,3264,3267.35,64347362,12
2022-05-03 10:57:01,89.49,2,-22.7,64.8,"22,25,0",3243,3242,3241,3238,3234,3239,3240,3241,3242,3238,3223,3247,3254,3254,3243,3245,3251,3241,3235,3239,3241.5,64347366,4
2022-05-03 10:57:13,89.27,2,-23.7,64.7,"22,25,0",3235,3235,3236,3231,3231,3233,3233,3236,3236,3233,3221,3238,3250,3251,3234,3235,3247,3235,3225,3236,3235.55,64347378,12
2022-05-03 10:57:21,89.1,2,-17.3,64.9,"22,25,0",3246,3250,3246,3246,3247,3250,3244,3251,3253,3245,3232,3253,3255,3260,3252,3252,3252,3249,3244,3245,3248.6,64347386,8
2022-05-03 10:57:32,88.94,2,-24.7,64.6,"22,25,0",3237,3233,3235,3233,3226,3238,3230,3234,3240,3227,3224,3237,3247,3248,3231,3237,3245,3234,3230,3232,3234.9,64347397,11
2022-05-03 10:57:41,88.81,2,0,65.8,"22,25,0",3291,3294,3293,3294,3290,3291,3293,3294,3292,3291,3293,3294,3298,3298,3293,3288,3289,3286,3287,3285,3291.7,64347406,9
2022-05-03 10:57:51,88.66,2,-20.3,64.8,"22,25,0",3241,3243,3246,3244,3241,3243,3247,3246,3244,3238,3230,3245,3253,3256,3248,3242,3248,3247,3238,3245,3244.25,64347416,10
2022-05-03 10:58:02,88.59,2,-20.9,65,"23,25,0",3259,3273,3250,3253,3255,3255,3246,3252,3252,3248,3241,3260,3268,3273,3248,3254,3264,3251,3243,3246,3254.55,64347427,11
2022-05-03 10:58:12,88.56,2,0,65.9,"23,25,0",3298,3301,3300,3302,3298,3298,3300,3301,3301,3299,3300,3301,3306,3306,3301,3296,3297,3295,3295,3292,3299.35,64347437,10
2022-05-03 10:58:21,88.56,2,0,66.1,"23,25,0",3306,3309,3308,3309,3306,3306,3309,3310,3309,3306,3308,3309,3312,3312,3307,3302,3303,3302,3303,3300,3306.8,64347446,9
2022-05-03 10:58:31,88.56,2,0,66.2,"23,25,0",3310,3313,3312,3313,3309,3310,3312,3314,3312,3310,3312,3312,3315,3315,3311,3306,3306,3305,3307,3304,3310.4,64347456,10
2022-05-03 10:58:42,88.56,2,0,66.2,"23,25,0",3312,3315,3314,3316,3312,3313,3315,3316,3315,3312,3314,3315,3318,3317,3314,3308,3309,3308,3309,3306,3312.9,64347467,11
2022-05-03 10:58:51,88.56,2,0,66.2,"23,25,0",3314,3317,3316,3317,3314,3315,3317,3318,3317,3314,3316,3317,3319,3320,3316,3309,3310,3310,3311,3308,3314.75,64347476,9
2022-05-03 10:59:01,88.56,2,0,66.3,"23,25,0",3315,3319,3318,3319,3316,3317,3319,3320,3319,3316,3318,3318,3321,3321,3318,3311,3312,3311,3312,3309,3316.45,64347486,10
2022-05-03 10:59:11,88.56,2,0,66.3,"23,25,0",3317,3320,3319,3320,3317,3318,3319,3321,3320,3317,3319,3319,3322,3323,3319,3312,3313,3312,3313,3310,3317.5,64347496,10
2022-05-03 10:59:13,88.56,2,0,66.3,"23,25,0",3317,3320,3319,3320,3317,3318,3320,3321,3320,3317,3319,3319,3322,3323,3319,3312,3313,3312,3314,3310,3317.6,64347498,2
2022-05-03 10:59:21,88.56,2,0,66.3,"23,25,0",3318,3321,3320,3321,3318,3319,3321,3322,3321,3318,3320,3321,3323,3323,3320,3313,3314,3313,3314,3311,3318.55,64347506,8
